Designator,Mid X,Mid Y,Rotation,Layer
C1,160.02,-79.472349,270.0,bottom
C10,142.915,-88.9,180.0,bottom
C11,142.24,-83.82,180.0,bottom
C12,142.24,-81.28,180.0,bottom
C13,179.4775,-73.66,0.0,bottom
C14,175.26,-113.4375,90.0,bottom
C15,157.48,-108.43,270.0,bottom
C16,167.64,-108.43,270.0,bottom
C17,154.94,-88.265,90.0,bottom
C18,154.94,-96.48,270.0,bottom
C2,142.2,-71.12,180.0,bottom
C3,144.78,-111.8,90.0,bottom
C4,177.8,-111.8,90.0,bottom
C5,177.84,-71.12,0.0,bottom
C6,142.28,-66.04,180.0,bottom
C7,140.335,-96.56,90.0,bottom
C8,140.335,-106.64,270.0,bottom
C9,145.415,-96.56,90.0,bottom
D1,137.16,-132.08,90.0,bottom
D2,160.02,-130.81,90.0,top
FB1,149.86,-93.1925,270.0,bottom
J1,129.54,-90.17,0.0,top
J2,190.5,-90.17,180.0,top
J3,130.81,-132.08,270.0,top
J4,185.42,-128.27,0.0,top
J5,158.75,-55.88,270.0,top
J6,158.75,-124.46,90.0,top
JP1,130.81,-121.92,270.0,top
JP2,130.81,-116.84,270.0,top
R1,149.86,-69.85,270.0,bottom
R2,172.72,-97.79,270.0,bottom
R3,148.59,-110.49,270.0,bottom
SW1,160.02,-139.7,180.0,top
SW2,177.8,-136.78,90.0,top
SW3,142.24,-136.78,270.0,top
U1,160.02,-90.17,0.0,top
U2,162.56,-99.06,270.0,bottom
Y1,147.32,-82.55,90.0,bottom
